SNO.,STATES,CUISINES
1,Himachal Pradesh,Channa madra
2,Jammu and Kashmir,Roshan josh
3,Uttarakhand,Ripe lemon chaat & bhang chutney
4,Punjab,Makke ki roti & Sarso ka saag
5,Haryana,Gajar methi
6,Rajasthan,Dal bati churma
7,Uttar Pradesh,Galauti kebabs
8,Madhya Pradesh,Indori palak puri
9,Gujarat,Khandvi
10,Bihar,Litti Chokha
11,West Bengal,Shorshe ilish
12,Assam,Spinach khar
13,Arunachal Pradesh,Dry fried chicken & bamboo shoots
14,Meghalaya,Jadoh
15,Manipur,Thambou Singju
16,Sikkim,Momos
17,Tripura,Mui borok
18,Mizoram,Misa mach poora
19,Nagaland,Pork with dry bamboo shoots
20,Jharkhand,Thekua
21,Chattisgarh,Bafauri
22,Goa,Goan fish curry
23,Kerala,Payasam
24,Odisha,Khirmohan
25,Maharashtra,Puran poli
26,Andhra Pradesh,Hyderabadi biryani
27,Karnataka,Mysore dosa
28,Telangana,Gongura Ghosht
29,Tamil Nadu,Idiyappam
30,Ladakh,Thukpa
