SNO.,STATE,DANCE FORMS
1,Andhra Pradesh,Kuchipudi
2,Arunachal Pradesh,Buiya
3,Assam,Naga Dance
4,Bihar,Panwariya
5,Chattisgarh,Pandwani
6,Goa,Tarangamel
7,Gujarat,Garba
8,Haryana,Jhumar
9,Himachal Pradesh,Jhora
10,Jharkhand,Mardana Jhumar
11,Karnataka,Yakshagan
12,Kerala,Mohiniattam
13,Madhya Pradesh,Matki
14,Maharashtra,Lavani
15,Manipur,Dol Cholam
16,Meghalaya,Laho
17,Mizoram,Chawnglaizawn
18,Nagaland,Bamboo Dance
19,Odisha,Odissi
20,Punjab,Bhangra
21,Rajasthan,Ghoomar
22,Sikkim,Yak Chaam
23,Tamil Nadu,Bharatnatyam
24,Tripura,Hojagiri
25,Uttar Pradesh,Nautanki
26,Uttarakhand,Garhwali
27,West Bengal,Kathi
28,Jammu and Kashmir,Rauf
29,Lakshadweep,Lava
