SNO.,STATE,CAPITAL,HANDICRAFTS
1,Andhra Pradesh,Hyderabad/ Amravati,Durgi stone craft
2,Arunachal Pradesh,Itanagar,Thangka painting
3,Assam,Dispur,Bamboo and cane handicraft
4,Bihar,Patna,Madhubani art
5,Chattisgarh,Raipur,Bell metal craft
6,Goa ,Panaji,Sea shell craft
7,Gujarat,Gandhinagar,Bandhini dying
8,Haryana,Chandigarh,Sarkanda craft
9,Himachal Pradesh,Shimla,Wood carving
10,Jharkhand,Ranchi,Cane and bamboo craft
11,Karnataka,Bangalore,Mysore silk
12,Kerala,Trivendrum,Coir products
13,Madhya Pradesh,Bhopal,Chanderi craft
14,Maharashtra,Mumbai,Bidriware
15,Manipur,Imphal,Kaun grass craft
16,Meghalaya,Shillong,Weaving
17,Mizoram,Aizawl,Bamboo and cane craft
18,Nagaland,Kohima,Weaving
19,Odisha,Bhubaneshnwar,Pattachitra
20,Punjab,Chandigarh,Phulkari
21,Rajasthan,Jaipur,Blue pottery
22,Sikkim,Gangtok,Choktse table
23,Tamil Nadu,Chennai,Tanjore paintings
24,Telangana,Hyderabad/ Amravati,Bidri craft
25,Tripura,Agartala,Handlooms
26,Uttar Pradesh,Lucknow,Chikankari
27,Uttarakhand,Dehradun,Woolen handicraft
28,West Bengal,Kolkata,Conch shell craft
29,Andaman & Nicobar Island,Port blair,Palm mats
30,Chandigarh,Chandigarh,Wood craft
31,Dadra & Nagar Haveli and Daman & Diu,Daman,Shell craft
32,Jammu and Kashmir,Srinagar & Jammu,Carpet
33,Delhi,Delhi,Meenakari
34,Ladakh,"Leh, Kargil",Carpet Weaving
35,Lakshadweep,Kavaratti,Shell craft
36,Pondicherry,Pondicherry,Aromatherapy products
